id,keyword,location,text,target
1,,,Our Deeds are the Reason of this #earthquake May ALLAH Forgive us all,1
4,,,Forest fire near La Ronge Sask. Canada,1
5,,,All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected,1
6,,,"13,000 people receive #wildfires evacuation orders in California ",1
7,,,Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ,1
8,,,#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires,1
10,,,"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",1
13,,,I'm on top of the hill and I can see a fire in the woods...,1
14,,,There's an emergency evacuation happening now in the building across the street,1
15,,,I'm afraid that the tornado is coming to our area...,1
16,,,Three people died from the heat wave so far,1
17,,,Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding,1
18,,,#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count ,1
19,,,#Flood in Bago Myanmar #We arrived Bago,1
20,,,Damage to school bus on 80 in multi car crash #BREAKING ,1
23,,,What's up man?,0
24,,,I love fruits,0
25,,,Summer is lovely,0
26,,,My car is so fast,0
28,,,What a goooooooaaaaaal!!!!!!,0
31,,,this is ridiculous....,0
32,,,London is cool ;),0
33,,,Love skiing,0
34,,,What a wonderful day!,0
